| id                                   | section_code | program_code | program_name                                   | year_level | semester | capacity | enrolled_count | available_slots | saturday_blocked | is_active | curriculum_version   | curriculum_is_active | school_year | term_semester | term_is_active | term_start_date | term_end_date | created_at                    | updated_at                    |
| 5c8ad717-d9da-4a47-abec-69eb29a8f032 | BSBA 4-D     | BSBA         | Bachelor of Science in Business Administration | 4          | 2        | 40       | 0              | 40              | false            | true      | BSBA Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-30 04:26:01.66812+00  | 2026-04-30 04:26:01.66812+00  |
| 2da81e0a-96b8-4927-aac6-d21ef5658c2b | BSHM 1-A     | BSHM         | Bachelor of Science in Hospitality Management  | 1          | 2        | 50       | 0              | 50              | true             | true      | BSHM Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-30 04:18:04.696861+00 | 2026-04-30 04:18:04.696861+00 |
| b7389364-bfc2-4fbb-9bec-97a821f02b44 | BSHM 1-B     | BSHM         | Bachelor of Science in Hospitality Management  | 1          | 2        | 50       | 0              | 50              | true             | true      | BSHM Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-30 04:18:23.654232+00 | 2026-04-30 04:18:23.654232+00 |
| 8107b687-23c5-4232-88aa-aa5fe670a4bf | BSHM 1-C     | BSHM         | Bachelor of Science in Hospitality Management  | 1          | 2        | 50       | 0              | 50              | true             | true      | BSHM Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-30 04:18:40.972352+00 | 2026-04-30 04:18:40.972352+00 |
| 9db40581-0909-44c8-95d9-cc51b45147d1 | BSHM 2-A     | BSHM         | Bachelor of Science in Hospitality Management  | 2          | 2        | 50       | 0              | 50              | false            | true      | BSHM Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-30 04:19:03.783252+00 | 2026-04-30 04:19:03.783252+00 |
| e7c97c3e-83dd-47e6-b4ab-29c94936bfa9 | BSHM 2-B     | BSHM         | Bachelor of Science in Hospitality Management  | 2          | 2        | 50       | 0              | 50              | false            | true      | BSHM Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-30 04:19:15.982071+00 | 2026-04-30 04:19:15.982071+00 |
| d98f4873-925c-4ce4-b54f-c0f9daa1e830 | BSHM 2-C     | BSHM         | Bachelor of Science in Hospitality Management  | 2          | 2        | 50       | 0              | 50              | false            | true      | BSHM Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-30 04:20:05.733418+00 | 2026-04-30 04:20:05.733418+00 |
| a09d8b3a-657c-4df8-a4ad-1e653d79949b | BSHM 2-D     | BSHM         | Bachelor of Science in Hospitality Management  | 2          | 2        | 50       | 0              | 50              | false            | true      | BSHM Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-30 04:20:17.869099+00 | 2026-04-30 04:20:17.869099+00 |
| 7ac900ff-38d5-49bf-a149-daee4260fb10 | BSHM 3-A     | BSHM         | Bachelor of Science in Hospitality Management  | 3          | 2        | 50       | 0              | 50              | false            | true      | BSHM Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-30 04:20:40.807737+00 | 2026-04-30 04:20:40.807737+00 |
| 911e4dfc-06e1-48e8-9ffc-9f6860fd57d5 | BSHM 3-B     | BSHM         | Bachelor of Science in Hospitality Management  | 3          | 2        | 50       | 0              | 50              | false            | true      | BSHM Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-30 04:20:57.045827+00 | 2026-04-30 04:20:57.045827+00 |
| faccb491-f6a2-4309-a6e5-b4bf481978bd | BSHM 3-C     | BSHM         | Bachelor of Science in Hospitality Management  | 3          | 2        | 50       | 0              | 50              | false            | true      | BSHM Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-30 04:19:44.1989+00   | 2026-04-30 04:19:44.1989+00   |
| 1e82d7b3-dcd0-420c-a9e1-1221cbfa13d6 | BSHM 4-A     | BSHM         | Bachelor of Science in Hospitality Management  | 4          | 2        | 40       | 0              | 40              | false            | true      | BSHM Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-30 04:21:20.571861+00 | 2026-04-30 04:21:20.571861+00 |
